Neighborhood,Median 2021 home sale price ($),Average 2021 home sale price ($),Homes sold in 2021 (#),1-year median price change 2020-21 (%),5-year median price change 2016-21 (%),Days on market (average),Condo sales among home sales (#),Share of 2021 sales that were condos (%),Short sales,Bank-owned sales,Average square feet of homes sold,Average cost per square foot ($),Average year built of homes sold,Renters' median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house a year before (%),Population in different Oregon county in past year (%),Population in different state in past year (%),Population moved from abroad in past year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Motor vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Vehicle thefts per square mile,Miles of bike routes,Area of neighborhood in square miles,Miles of bike route per square mile,Park area in square miles,Parks and natural areas (% of neighborhood),Estimated time by car to downtown (min.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score
GRANT PARK,815000,897264,71,6,20,17,0,0,0,0,2871,313,1925,1448,4034,8839,43,117043,79,5,4,34,59.4,2.4,8.5,0.7,29.1,42.9,35.5,90.6,9.4,85.1,1.4,2.8,0.5,4.7,15,0,2,3,2,19,80,46,32,0,5,36,100.8,2.4,0.46,5.25,0.03,7,15,3,84
HAYDEN ISLAND,340000,380390,99,-9,31,49,61,62,0,0,1503,253,1982,1293,2378,739,53,87684,72,8,1,11,40.4,3.0,29.4,2.3,24.9,18.2,14.8,92.5,7.5,84.9,2.3,4.3,0.3,6.9,89,0,4,12,18,39,611,193,108,2,52,354,60.0,1.63,3.22,0.51,0.0,0,12,1,36
HAYHURST,598000,593652,102,13,33,22,18,18,0,0,2002,297,1970,1370,6059,5391,39,103615,67,7,3,35,48.1,6.6,15.9,1.4,27.9,39.7,23.9,88.3,11.7,81.4,6.4,3.2,1.2,10.8,11,0,0,0,2,8,58,9,12,0,2,12,7.9,3.76,1.14,3.29,0.09,8,17,7,52
HAZELWOOD,405000,400814,377,16,51,18,66,18,0,1,1570,255,1972,1120,25518,6236,38,53590,48,18,5,27,37.1,6.8,12.9,2.8,40.2,18.5,8.5,65.9,34.1,81.6,2.9,2.3,1.7,6.9,690,3,30,25,109,189,1276,480,525,35,34,76,117.3,18.22,4.09,4.45,0.07,2,15,14,64
HEALY HEIGHTS,1300000,1469444,9,4,21,8,0,0,0,0,3398,432,1965,1222,192,3270,42,103309,55,12,6,21,56.8,6.1,7.5,1.1,28.4,34.3,46.2,83.6,16.4,85.4,1.9,4.0,0.9,6.8,0,0,0,0,0,1,1,0,0,0,0,10,0.0,0.0,0.06,0.0,0.0,3,13,1,13
HILLSDALE,625000,665446,165,2,26,16,25,15,0,1,2283,291,1962,1279,8229,4394,42,105061,67,8,4,28,52.0,4.4,13.1,0.8,29.8,38.1,34.5,88.5,11.5,83.5,3.6,4.7,0.7,9.0,45,0,0,3,3,41,191,39,46,1,6,33,20.8,8.02,1.87,4.29,0.11,6,12,16,57
HILLSIDE,920500,936860,104,6,15,57,45,43,0,0,2391,392,1972,1394,1306,1878,49,161987,82,4,2,25,64.3,3.9,8.2,0.1,23.6,35.1,45.7,83.5,16.5,91.5,1.6,2.8,1.5,5.9,3,0,0,0,0,6,58,8,17,0,2,55,11.5,1.1,0.7,1.58,0.2,29,12,3,47
HOLLYWOOD,596450,684768,22,1,-1,33,3,14,0,0,2419,283,1935,1201,2251,9506,42,65906,45,17,5,21,37.0,2.5,19.4,0.6,40.5,37.7,27.5,89.7,10.3,83.0,1.9,6.5,0.1,8.4,71,0,4,2,7,51,240,53,72,0,37,153,223.9,1.69,0.24,7.13,0.0,0,9,8,94
HOMESTEAD,488000,469794,32,3,99,29,12,38,0,0,1529,307,1953,1390,2210,2721,43,104289,57,10,4,20,51.5,4.4,9.7,1.4,32.9,36.9,42.1,87.2,12.8,78.8,2.7,6.0,0.6,9.2,17,0,5,1,0,9,74,12,13,0,10,43,14.8,4.04,0.81,4.98,0.4,49,10,16,47
HOSFORD-ABERNETHY,675000,699395,140,0,15,14,19,14,0,0,2274,308,1934,1280,8865,6815,37,82092,45,12,5,20,37.2,2.0,9.8,2.2,48.9,37.6,27.4,91.4,8.6,79.2,3.7,6.9,0.8,11.4,71,2,0,4,8,138,407,141,164,3,10,77,108.4,8.88,1.3,6.83,0.0,0,7,14,92
HUMBOLDT,600000,608187,97,9,20,15,19,20,0,0,2101,289,1952,1356,5302,9642,35,81145,54,15,4,28,36.2,1.8,12.3,1.4,48.2,35.7,23.5,88.3,11.7,79.7,1.3,6.6,0.5,8.4,84,1,2,3,5,35,154,127,78,1,18,60,231.0,3.98,0.55,7.24,0.0,0,10,3,89
IRVINGTON,860000,904223,111,10,19,29,22,20,0,0,3032,298,1930,1559,5988,9203,43,101630,61,7,3,24,46.6,3.9,11.0,1.3,37.1,37.0,34.2,90.3,9.7,79.9,1.8,5.5,0.4,7.8,44,0,1,5,9,37,209,111,99,0,10,60,170.6,3.61,0.65,5.55,0.03,4,11,5,84
KENTON,493000,504849,213,9,32,13,1,0,0,0,1662,304,1943,1526,7842,2283,42,74862,66,11,1,21,41.8,2.7,12.6,2.9,39.9,27.5,11.5,78.3,21.7,83.7,1.5,2.7,0.1,4.2,128,2,6,9,16,60,264,177,129,0,21,64,51.5,14.01,3.43,4.08,0.19,6,14,6,73
KERNS,524500,564752,62,-5,3,23,23,37,0,0,1956,289,1935,1248,6923,8375,34,54309,17,14,3,11,29.4,1.6,11.6,2.6,54.7,44.9,19.2,88.5,11.5,74.9,3.6,5.9,0.1,9.6,97,0,8,7,15,108,511,167,197,1,18,114,202.1,4.38,0.83,5.3,0.03,3,9,17,94
KING,577500,615111,132,5,23,21,12,9,0,0,2085,295,1946,1213,7168,11563,34,71505,49,18,6,25,34.1,1.7,9.7,1.5,53.1,32.3,23.3,88.6,11.4,80.0,2.2,4.9,0.5,7.7,114,0,8,4,12,36,172,115,108,0,19,45,185.5,0.91,0.62,1.46,0.01,1,12,3,89
LAURELHURST,835000,898047,105,2,16,23,1,1,0,1,3076,292,1924,1227,5058,7572,43,126286,76,4,1,37,58.5,3.9,9.7,0.7,27.2,40.6,35.4,94.6,5.4,87.4,1.1,6.0,0.0,7.1,22,0,0,0,0,22,93,48,61,2,4,32,71.9,4.6,0.67,6.89,0.05,8,9,8,82
LENTS,395000,397877,357,14,55,18,13,4,2,1,1481,269,1947,1255,21641,5959,37,55666,53,18,6,33,40.9,4.7,12.2,2.1,40.1,18.4,6.8,68.6,31.4,83.7,3.1,2.8,1.0,6.9,442,3,21,16,55,131,624,351,298,24,25,51,98.1,21.36,3.58,5.97,0.34,9,16,8,61
LINNTON*,440000,489605,19,2,39,56,4,21,0,0,1884,260,1961,1012,135,62,48,97898,82,9,3,24,53.5,3.0,14.9,0.2,28.4,30.2,24.0,96.4,3.6,87.2,3.6,3.1,0.0,6.7,9,0,0,0,0,7,116,9,26,0,67,977,6.3,5.55,1.44,3.86,0.1,7,18,2,4
LLOYD DISTRICT,256500,265236,14,22,24,73,14,100,0,0,780,340,1975,1370,2372,4632,38,55835,13,18,7,5,21.2,6.8,15.2,1.3,55.5,39.5,19.8,90.5,9.5,65.0,6.5,11.0,0.3,17.8,194,1,21,5,54,49,513,99,216,1,116,279,193.4,7.65,0.51,14.94,0.0,1,10,16,91
MADISON SOUTH,433000,447700,123,11,36,20,8,7,0,0,1680,267,1958,1261,9349,5320,38,60540,64,11,8,24,41.9,5.5,14.9,2.7,35.0,26.4,11.7,82.8,17.2,84.7,1.5,2.2,0.5,4.2,147,6,13,4,19,56,206,95,107,3,20,38,54.1,3.53,1.76,2.01,0.21,12,12,9,57
MAPLEWOOD,650000,664261,49,26,37,15,4,8,0,0,2217,300,1965,2131,2538,4175,48,108185,80,3,4,26,62.6,5.9,13.4,0.3,17.8,38.3,32.0,93.7,6.3,85.4,5.1,2.6,0.4,8.1,11,0,0,0,0,5,22,5,5,0,4,13,8.1,3.71,0.62,5.99,0.02,3,16,1,34
MARKHAM,575000,565477,67,10,35,19,5,7,0,1,2060,275,1972,1624,1815,3496,42,129547,86,5,3,34,62.3,2.5,12.1,0.4,22.6,42.1,34.3,92.3,7.7,86.3,1.7,1.6,2.4,5.7,4,0,0,0,1,3,28,9,12,0,3,22,17.3,0.12,0.52,0.23,0.01,3,13,4,42
MARSHALL PARK,632500,675476,36,10,17,16,0,0,0,0,2298,294,1967,1529,1378,2257,40,140628,90,6,2,36,63.0,2.0,7.9,0.4,26.6,40.5,37.4,90.9,9.1,85.6,2.9,3.9,0.8,7.6,Â,0,1,0,0,1,3,3,1,0,1,5,4.9,0.0,0.61,0.01,0.1,17,14,4,28
MILL PARK,405000,400477,106,16,53,17,19,18,0,1,1556,257,1966,1171,8990,8884,34,50845,43,22,9,30,40.8,4.9,10.9,1.9,41.6,13.2,6.4,53.9,46.1,83.2,2.2,2.5,2.3,7.0,182,1,8,6,18,72,183,86,125,7,24,38,85.0,2.95,1.01,2.92,0.02,2,18,4,70
MONTAVILLA,445000,453673,333,9,36,17,18,5,0,0,1558,291,1953,1197,16604,7621,38,62700,60,14,6,24,41.3,5.1,13.0,1.4,39.3,27.9,14.6,77.9,22.1,82.8,1.5,5.1,0.2,6.9,237,1,14,11,34,147,485,260,243,9,18,54,119.4,7.73,2.18,3.55,0.03,1,14,9,76
MT SCOTT-ARLETA,465000,469126,175,15,37,18,9,5,0,1,1550,303,1950,1275,8035,9301,36,70008,62,12,5,29,40.7,4.4,13.1,0.9,40.8,28.3,14.6,81.7,18.3,80.9,3.0,4.4,0.8,8.2,103,1,4,7,14,35,144,107,84,4,16,36,123.9,2.52,0.86,2.92,0.02,2,16,5,80
MT TABOR,687000,766341,189,14,28,22,8,4,0,0,2507,306,1945,1272,11883,7434,41,81267,61,10,5,25,44.3,5.4,12.3,0.8,37.2,32.4,23.3,88.7,11.3,86.7,1.6,4.9,0.6,7.0,33,0,2,0,4,38,269,98,80,0,3,34,61.3,7.4,1.6,4.63,0.28,17,14,5,69
MULTNOMAH,545000,559214,158,17,39,21,45,28,0,0,1875,298,1961,1236,8837,6124,36,75846,54,10,6,25,39.8,2.6,13.1,0.3,44.1,36.2,29.1,89.0,11.0,75.4,7.2,5.1,1.0,13.2,63,0,3,1,5,39,175,49,57,0,8,30,34.0,7.29,1.44,5.05,0.16,11,12,10,70
NORTH TABOR,542200,580186,93,10,29,18,6,6,0,0,2006,289,1922,1115,5764,9848,38,68449,41,13,4,18,34.8,2.0,12.5,0.8,49.9,31.2,18.9,85.7,14.3,80.0,2.8,4.4,0.3,7.5,66,1,6,3,5,28,262,91,81,1,14,66,155.5,2.1,0.59,3.58,0.0,1,10,4,77
NORTHWEST DISTRICT,550000,644718,266,11,-1,41,183,69,0,1,1655,389,1940,1434,17096,11742,37,81340,32,8,3,11,34.5,1.9,14.5,1.0,48.4,40.2,33.8,90.1,10.1,71.2,5.4,5.6,1.8,12.9,289,1,16,16,24,337,1035,273,541,11,20,96,186.6,10.77,1.46,7.36,0.03,2,7,8,93
NORTHWEST HEIGHTS,810000,855660,211,14,28,25,41,19,0,1,3109,275,2000,1752,765,590,46,165976,83,3,2,35,66.9,2.6,7.8,0.0,22.7,35.6,44.1,77.1,22.9,90.2,3.6,3.0,1.6,8.2,3,0,0,0,0,3,15,1,Â,0,4,25,0.7,0.0,1.37,0.0,0.0,0,18,0,12
