Neighborhood,Median 2021 home sale price ($),Average 2021 home sale price ($),Homes sold in 2021 (#),1-year median price change 2020-21 (%),5-year median price change 2016-21 (%),Days on market (average),Condo sales among home sales (#),Share of 2021 sales that were condos (%),Short sales,Bank-owned sales,Average square feet of homes sold,Average cost per square foot ($),Average year built of homes sold,Renters' median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house a year before (%),Population in different Oregon county in past year (%),Population in different state in past year (%),Population moved from abroad in past year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Motor vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Vehicle thefts per square mile,Miles of bike routes,Area of neighborhood in square miles,Miles of bike route per square mile,Park area in square miles,Parks and natural areas (% of neighborhood),Estimated time by car to downtown (min.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score
SELLWOOD-MORELAND,640000,675520,266,12,31,20,36,14,1,2,2044,330,1947,1146,8760,4334,42,82793,56,10,5,26,49.9,4.2,16.2,1.3,28.4,36.5,27.2,91.6,8.4,81.3,6.7,5.7,0.7,13.0,104,3,4,3,6,82,368,114,126,2,14,64,54.8,9.14,2.08,4.39,0.49,23,13,6,81
SOUTH BURLINGAME,589900,596498,47,3,28,19,0,0,0,0,2211,270,1950,1765,1985,4670,41,111195,78,5,4,29,53.6,3.0,15.4,0.4,27.6,41.8,31.6,92.3,7.7,83.7,1.7,1.4,4.5,7.6,2,0,2,1,0,6,20,6,12,0,3,16,14.1,1.75,0.43,4.11,0.02,5,10,8,63
SOUTH PORTLAND,510000,583336,277,10,20,44,164,59,0,0,1677,348,1979,1650,11212,6584,38,90059,38,11,4,9,38.1,5.7,14.2,0.3,41.7,38.4,36.3,84.9,15.1,71.0,6.4,6.4,1.0,13.8,70,1,5,4,6,69,380,104,154,2,8,49,61.1,11.06,1.7,6.49,0.1,6,9,26,72
SOUTH TABOR,562000,562945,126,17,35,11,6,5,0,0,1892,298,1949,1219,6839,8557,37,69222,62,9,4,24,43.2,1.9,12.5,1.8,40.6,33.2,18.8,85.2,14.8,81.0,2.9,3.4,0.8,7.2,78,0,4,2,21,69,210,94,60,0,15,55,117.6,3.75,0.8,4.7,0.02,2,15,4,76
SOUTHWEST HILLS*,999975,1158257,202,18,27,48,23,11,0,0,3369,344,1949,1695,6967,2875,45,140192,74,7,4,28,63.9,3.9,7.7,0.8,23.7,37.5,41.8,86.9,13.1,86.1,2.8,4.5,0.7,8.0,15,0,1,1,2,27,108,24,43,1,3,23,12.4,1.71,1.94,0.88,0.26,14,8,7,32
ST. JOHNS,450000,451195,286,13,45,17,33,12,0,0,1456,310,1953,1451,13946,1266,40,70968,61,12,4,22,39.8,2.7,12.2,3.0,42.1,26.5,10.5,78.0,22.0,83.1,1.7,3.5,0.2,5.3,182,3,10,1,26,67,297,195,161,1,16,40,17.7,19.59,11.01,1.78,3.41,31,18,5,63
SULLIVAN'S GULCH,335000,454800,47,-22,-4,46,34,72,0,0,1484,307,1966,1285,3417,10710,39,66970,32,10,4,12,34.8,2.1,11.2,1.4,50.5,44.0,25.2,90.3,9.7,71.1,2.8,5.7,0.4,8.9,41,4,2,4,15,58,249,93,69,0,19,117,291.5,2.99,0.32,9.39,0.01,2,12,7,81
SUMNER*,390000,381044,43,16,40,30,0,0,0,1,1364,279,1940,1044,2017,2550,40,52033,61,22,5,24,30.5,3.0,18.3,2.8,45.4,12.0,6.5,76.5,23.5,68.6,14.6,5.2,0.1,19.9,43,0,1,0,10,15,84,61,35,2,27,79,77.1,0.83,0.79,1.05,0.02,3,16,5,65
SUNDERLAND,-,Â,-,-,-,-,Â,0,Â,Â,-,-,-,1047,278,149,41,56001,50,25,5,21,23.3,3.2,19.2,4.2,50.1,11.5,4.2,79.6,20.4,60.2,20.5,6.3,0.0,26.8,38,0,3,4,4,54,81,38,33,0,176,621,20.4,3.71,1.86,1.99,0.09,5,16,3,12
SUNNYSIDE,575000,586419,112,4,26,20,25,22,0,0,1921,305,1935,1420,8049,13470,36,79553,40,11,3,19,34.3,3.1,11.1,0.7,50.8,38.7,25.2,91.9,8.1,75.2,2.3,7.3,0.4,10.0,77,0,2,8,10,84,313,132,124,0,12,66,220.9,2.13,0.6,3.57,0.0,0,11,4,93
SYLVAN HIGHLANDS*,819000,822092,31,17,29,31,4,13,0,0,2592,317,1974,2061,1203,1289,49,162361,91,2,1,33,71.2,3.0,8.9,0.3,16.7,38.2,38.7,88.9,11.1,88.8,3.8,5.1,0.1,9.0,11,0,1,1,0,10,67,10,25,0,11,72,13.2,1.95,0.76,2.58,0.11,15,10,5,19
UNIVERSITY PARK,560000,577290,133,7,30,14,0,0,0,0,2032,284,1953,1495,6925,5409,23,79541,65,19,9,27,27.3,2.3,7.9,0.4,59.2,32.3,25.2,84.9,12.2,71.8,3.8,10.2,1.4,15.5,33,0,3,1,5,29,107,61,63,0,6,28,46.2,4.43,1.32,3.35,0.04,3,16,3,54
VERNON,635000,618048,75,5,30,19,10,13,0,0,2056,301,1939,1520,2870,9258,36,95408,67,10,5,29,39.2,2.2,10.7,0.8,47.2,34.5,27.8,92.8,7.2,85.1,1.6,5.0,0.5,7.1,26,0,1,0,0,14,60,36,21,0,9,38,116.1,0.65,0.31,2.08,0.03,8,14,2,90
WEST PORTLAND PARK,479900,438217,85,6,18,18,23,27,0,0,1548,283,1976,1317,4096,5615,36,71848,56,10,1,26,49.9,2.3,14.6,2.1,31.1,34.7,14.8,79.1,20.9,83.9,5.6,2.9,3.3,11.8,22,0,0,0,2,9,52,18,22,0,6,19,24.7,2.22,0.73,3.04,0.06,8,14,7,57
WILKES,435000,424887,195,16,48,26,38,19,0,1,1774,240,1980,1227,9150,2968,43,64411,73,11,6,28,51.4,6.5,14.6,2.8,24.8,15.5,8.9,72.2,27.8,89.2,1.8,2.3,0.3,4.4,136,0,3,4,6,44,187,133,84,3,16,40,43.2,11.85,3.08,3.85,0.31,10,19,6,30
WOODLAND PARK,430000,420400,5,12,42,9,0,0,0,0,1730,243,1945,1173,283,5894,39,60460,49,9,6,25,36.1,8.3,11.1,1.6,43.0,18.4,10.6,82.3,17.7,81.9,2.7,6.6,0.4,9.8,9,0,0,1,0,0,9,6,8,1,35,53,125.0,0.18,0.05,3.83,0.0,0,13,5,69
WOODLAWN,544200,541928,136,12,30,17,21,15,1,0,1807,300,1965,1600,5842,7977,36,88850,70,13,5,27,36.1,2.3,10.8,0.8,50.1,33.5,22.8,91.6,8.4,84.2,2.2,4.6,0.7,7.5,44,2,1,2,2,25,136,67,47,1,9,39,91.5,2.75,0.73,3.76,0.01,2,14,4,74
WOODSTOCK,550000,579205,224,11,29,19,2,1,1,0,1866,310,1954,1575,8866,7111,39,93152,73,6,4,30,52.5,4.3,11.6,0.7,30.9,32.9,26.9,87.7,12.3,82.3,3.1,5.5,0.9,9.5,52,0,3,6,14,76,216,88,59,5,8,43,70.6,3.87,1.25,3.1,0.02,2,14,5,74
PORTLAND TOTAL,510000,574526,12103,10,34,25,2191,18,8,27,1913,320,1957,1248,653467,4506,37,76231,54,14,4,24,39.7,10.8,3.1,1.1,36.2,31.4,21.4,76.9,23.1,81.7,7.1,4.3,0.6,11.9,9483,88,576,459,1224,4984,24160,9208,9774,368,18,59,63.5,460.52,145.09,3.17,20.19,14,-,66,67
